PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
806,3,1,31.0,0,0,7.775,2
414,2,1,28.0,0,0,0.0,2
492,3,1,21.0,0,0,7.25,2
344,2,1,25.0,0,0,13.0,2
770,3,1,32.0,0,0,8.3625,2
309,2,1,30.0,1,0,24.0,0
662,3,1,40.0,0,0,7.225,0
131,3,1,33.0,0,0,7.8958,0
664,3,1,36.0,0,0,7.4958,2
872,1,0,47.0,1,1,52.5542,2
100,2,1,34.0,1,0,26.0,2
373,3,1,19.0,0,0,8.05,2
88,3,1,28.0,0,0,8.05,2
459,2,0,50.0,0,0,10.5,2
331,3,0,28.0,2,0,23.25,1
215,3,1,28.0,1,0,7.75,1
467,2,1,28.0,0,0,0.0,2
122,3,1,28.0,0,0,8.05,2
615,3,1,35.0,0,0,8.05,2
21,2,1,35.0,0,0,26.0,2
701,1,0,18.0,1,0,227.525,0
72,3,0,16.0,5,2,46.9,2
107,3,0,21.0,0,0,7.65,2
271,1,1,28.0,0,0,31.0,2
861,3,1,41.0,2,0,14.1083,2
436,1,0,14.0,1,2,120.0,2
103,1,1,21.0,0,1,77.2875,2
